,auc,evd,visual_index,timing_index,strategy_index,mouse_id,session_number,stage,behavior_session_id,aborted,false_alarms,max_dprimes,rewards
485,0.8293169398907103,-997.868000606206,10.582717842039925,1.5847441590871387,8.997973682952784,579993,19,5_ready,1120022911,259,4,1.6810858579102748,98
486,0.8228263320827439,-1096.4216690549983,19.548219224216385,2.654267286568333,16.893951937648055,579993,25,5_ready,1121648063,269,3,2.36511137978098,164
487,0.8029872523421901,-1056.9782561691609,14.634289313119147,0.3008887648209364,14.333400548298211,579993,18,5_ready,1119807145,276,1,2.5860618605481065,121
488,0.6860236949278046,-1509.9033665693278,9.315392257461683,0.8476374430961803,8.467754814365502,579993,22,5_ready,1121051297,366,3,1.9393902391540903,150
489,0.7683939566814195,-1426.8559433607445,15.839872475957517,2.540952534911593,13.298919941045924,579993,24,5_ready,1121449630,426,3,2.744391581091133,181
490,0.9203101001588678,-554.6853113314792,36.02678046549162,4.713033647041546,31.313746818450078,579993,27,5_ready,1122679099,154,2,3.66954207841162,113
491,0.7874070109544183,-1091.7416276187723,10.29266404036434,3.035364080264553,7.257299960099786,579993,28,5_ready,1122897846,205,6,1.393885515882936,121
492,0.7419674295774648,-1449.8753890294392,6.830318187490731,4.5128283939886185,2.317489793502112,579993,26,5_ready,1122463692,361,5,1.70056266375504,130
493,0.9046393093913806,-666.909688770138,65.25162563691373,2.8643770967725493,62.38724854014118,579993,40,5_ready,1126112609,114,4,3.2786513613595583,224
494,0.8492101648908486,-734.9851915567706,34.00977474258854,1.8369278502825337,32.172846892306005,579993,39,5_ready,1125928022,91,2,2.1201260601053566,158
495,0.8561835397572634,-817.9121221430105,32.38730447350599,3.8043424892935054,28.58296198421249,579993,42,5_ready,1127051728,107,3,2.5751748998111403,179
496,0.8393969593455051,-941.547949576583,30.2615091991692,4.270208684552485,25.991300514616714,579993,41,5_ready,1126880443,175,4,2.6122751930531733,193
497,0.8887042653162771,-618.7992880388701,59.54917800862636,3.292051961250307,56.25712604737605,579993,44,5_ready,1127442707,88,2,2.9122226030517306,196
498,0.89298468894475,-721.7250528524964,32.309438363988185,8.521354052687991,23.7880843113002,585326,12,5_ready,1125257531,150,2,3.0299602640473218,165
499,0.8819851578090634,-673.6424339034202,43.955833818190506,5.093414798853447,38.86241901933706,585326,13,5_ready,1125491643,141,7,2.6754980879985837,174
500,0.8890686123780727,-713.2089936455741,35.02233009753756,7.73553083157998,27.286799265957583,585326,14,5_ready,1125706504,159,8,3.0736157566855367,151
501,0.8606799446924838,-1018.6257847785672,21.6408487426954,11.61866204981571,10.022186692879687,585326,15,5_ready,1125921566,260,11,2.6749133193020618,174
502,0.8748443676372746,-845.3525011310994,30.51981047419029,6.350501479031219,24.169308995159074,585326,16,5_ready,1126115786,215,6,2.7911297682487266,168
503,0.8751384633090213,-1044.5096444665032,14.074628299321482,16.90537410294168,-2.8307458036201965,585329,43,5_ready,1135551120,250,8,2.0574838772967197,172
504,0.8715694080179844,-1241.472472340909,8.214583840822232,24.959678909625925,-16.745095068803693,585329,32,5_ready,1132591016,447,6,2.1106969313508754,139
505,0.812606038647343,-1322.3455373829274,4.273333282374411,13.644226711144904,-9.370893428770492,585329,12,5_ready,1126881717,352,9,1.5490017388290536,116
506,0.7845003391610686,-1234.3020360439623,6.079810629862066,8.404946857581807,-2.3251362277197414,585329,13,5_ready,1127063812,233,4,2.893824719065684,107
507,0.8412450923398376,-1185.9916919275274,7.387247480873802,14.901201225432006,-7.513953744558204,585329,14,5_ready,1127250255,287,2,2.5073323586692764,128
508,0.9033358479529564,-1058.2315067439197,7.838252169540792,34.625986598505584,-26.787734428964797,585329,25,5_ready,1130545530,343,12,2.026492229622849,143
509,0.8557252610002871,-1380.771031599128,0.4549157811473943,29.64968516519699,-29.194769384049597,585329,26,5_ready,1131311228,560,7,1.2815515655446004,78
510,0.8115601867483011,-1411.313813382847,11.657760535766574,11.725852432091637,-0.0680918963250611,585329,31,5_ready,1132435788,518,9,2.3428809441431606,163
511,0.8395982169340419,-1414.419822040254,0.0681622948447698,25.028422318566392,-24.960260023721624,585329,33,5_ready,1132744410,480,7,1.1237599276914818,63
512,0.8706045074885292,-1155.951327216113,9.395389201514329,19.80587884384451,-10.410489642330184,585329,42,5_ready,1135345527,311,5,2.1397235428816046,156
513,0.918155996545827,-652.5425535631803,65.79040979266681,11.46921851911848,54.32119127354832,585329,44,5_ready,1135831584,145,11,3.419828258802026,265
